PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,SiteEnergyUse(kBtu)
224864.625,196071.25,0,1.0,5,Large Office,Office,192159.375,7,LAKE UNION,47.62424,-122.33646,2010,13795954.0
224864.625,196071.25,44766,1.0,7,Hotel,Hotel,192159.375,3,LAKE UNION,47.62642,-122.33325,1990,16336999.203125
224864.625,196071.25,0,1.0,1,Other,Other,192159.375,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,16336999.203125
91213.0,91213.0,0,1.0,1,Other,Other,65000.0,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962,8141155.5
224864.625,196071.25,0,1.0,5,Other,Other,192159.375,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1938,16336999.203125
224864.625,196071.25,0,1.0,12,Large Office,Office,192159.375,7,LAKE UNION,47.62112,-122.33629,2010,16336999.203125
52000.0,52000.0,0,1.0,2,Other,Other,52000.0,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1962,2726369.0
60696.0,60696.0,0,1.0,1,Other,Other,108000.0,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1928,875943.3125
224864.625,196071.25,0,1.0,2,Other,Other,192159.375,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1928,16336999.203125
66240.0,63888.0,2352,0.0,2,Small- and Mid-Sized Office,Office,45900.0,7,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,1986,4166306.25
224864.625,196071.25,303707,1.0,6,Large Office,Office,192159.375,7,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,2010,16336999.203125
76213.0,50283.0,25930,1.0,4,Small- and Mid-Sized Office,Office,48546.0,7,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1970,3476212.5
96910.0,59976.0,36934,1.0,6,Hotel,Hotel,59976.0,7,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,2002,5155568.5
50017.0,50017.0,0,2.0,4,Hotel,Hotel,50017.0,4,NORTHEAST,47.65772,-122.31756,1962,5448975.0
67743.0,67743.0,0,1.0,3,K-12 School,K-12 School,67743.0,3,EAST,47.62548,-122.30828,1923,2646879.0
194104.0,194104.0,0,1.0,6,K-12 School,K-12 School,192159.375,3,EAST,47.62644,-122.30429,1908,6219841.5
99433.0,63681.0,35752,1.0,3,Small- and Mid-Sized Office,Office,63681.0,3,SOUTHEAST,47.58408,-122.30125,2003,4897760.0
56521.0,56521.0,0,1.0,4,Other,Other,49000.0,4,NORTHEAST,47.67524,-122.31534,1941,6357632.0
206934.0,196071.25,0,1.0,2,Other,Other,119146.0,4,NORTHEAST,47.67559,-122.31769,1929,4253577.5
51390.0,51390.0,0,1.0,4,Hotel,Hotel,51390.0,5,NORTHWEST,47.73141,-122.3458,2001,3611538.0
69138.0,69138.0,0,1.0,3,Hotel,Hotel,70609.0,5,NORTHWEST,47.72551,-122.3423,2002,3242458.0
190980.0,190980.0,0,1.0,5,Hotel,Hotel,190980.0,7,DOWNTOWN,47.6048,-122.3368,1904,6505995.0
224864.625,196071.25,0,1.0,6,Other,Other - Entertainment/Public Assembly,189750.0,7,DOWNTOWN,47.60804,-122.3367,1998,14641502.0
224864.625,196071.25,0,4.0,5,Hospital,Hospital (General Medical & Surgical),192159.375,6,BALLARD,47.66737,-122.37956,1954,16336999.203125
61156.0,61156.0,0,1.0,4,Other,Other,42755.0,2,DOWNTOWN,47.60112,-122.32785,2006,9363374.0
72820.0,59000.0,13820,1.0,4,Other,Museum,58000.0,2,DOWNTOWN,47.59809,-122.32283,1910,2010454.625
162222.0,148022.0,14200,1.0,4,Hotel,Hotel,113702.0,7,MAGNOLIA / QUEEN ANNE,47.62614,-122.3467,1996,7946961.0
63330.0,63330.0,0,1.0,3,University,College/University,64820.0,3,EAST,47.61495,-122.32177,1915,3059758.0
224864.625,196071.25,0,27.0,2,University,College/University,192159.375,1,DELRIDGE,47.547,-122.35307,1970,16336999.203125
