PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,SiteEnergyUse(kBtu),HasParking,BuildingAge,ParkingRatio,AreaPerFloor,BuildingDensity,GeoCluster
128800.0,128800.0,0,1.0,1,Warehouse,Non-Refrigerated Warehouse,119200.0,2,GREATER DUWAMISH,47.54066,-122.33023,1977,1809101.5,0,39,0.0,128800.0,7.763975155279503e-06,1.0
224864.625,196071.25,0,1.0,8,Large Office,Office,166919.0,7,DOWNTOWN,47.60932,-122.33388,1927,13656587.0,0,89,0.0,24508.90625,4.447120128388358e-06,2.0
224864.625,196071.25,0,1.0,22,Large Office,Office,192159.375,7,DOWNTOWN,47.60842,-122.33305,1964,16336999.203125,0,52,0.0,8912.329545454546,4.447120128388358e-06,2.0
224864.625,196071.25,0,1.0,21,Large Office,Office,192159.375,7,DOWNTOWN,47.60869,-122.33588,1960,16336999.203125,0,56,0.0,9336.72619047619,4.447120128388358e-06,2.0
224864.625,196071.25,0,1.0,42,Large Office,Office,192159.375,7,DOWNTOWN,47.60896,-122.33481,1976,16336999.203125,0,40,0.0,4668.363095238095,4.447120128388358e-06,2.0
224864.625,196071.25,0,1.0,12,Hotel,Hotel,192159.375,7,DOWNTOWN,47.60804,-122.33391,1923,16336999.203125,0,93,0.0,16339.270833333334,4.447120128388358e-06,2.0
224864.625,196071.25,0,1.0,2,Retail Store,Retail Store,191940.0,2,SOUTHEAST,47.57936,-122.29744,1980,11688601.0,0,36,0.0,98035.625,4.447120128388358e-06,8.0
88400.0,88400.0,0,0.0,1,Mixed Use Property,Non-Refrigerated Warehouse,33450.0,2,GREATER DUWAMISH,47.52871,-122.29443,1970,4383100.5,0,46,0.0,88400.0,0.0,7.0
52311.0,52311.0,0,1.0,1,Warehouse,Non-Refrigerated Warehouse,51116.0,5,NORTHWEST,47.72912,-122.34677,1960,930611.875,0,56,0.0,52311.0,1.9116438225229875e-05,4.0
141131.0,71421.0,69710,1.0,5,Other,Parking,74831.0,7,LAKE UNION,47.62323,-122.33028,2009,3085814.0,1,7,0.4939382559466028,14284.2,7.085615491989711e-06,2.0
176532.0,106465.0,70067,1.0,5,Large Office,Office,103494.0,7,LAKE UNION,47.62333,-122.3296,2001,5803409.0,1,15,0.3969082092765051,21293.0,5.664695352683933e-06,2.0
52500.0,52500.0,0,1.0,1,Warehouse,Non-Refrigerated Warehouse,49395.0,6,BALLARD,47.65825,-122.3683,1973,3989399.0,0,43,0.0,52500.0,1.9047619047619046e-05,3.0
57300.0,57300.0,0,1.0,2,Warehouse,Non-Refrigerated Warehouse,29001.0,6,BALLARD,47.66587,-122.38476,1959,4560492.0,0,57,0.0,28650.0,1.7452006980802792e-05,3.0
224864.625,196071.25,0,1.0,6,Large Office,Office,192159.375,7,DOWNTOWN,47.61429,-122.35263,1916,16336999.203125,0,100,0.0,32678.541666666668,4.447120128388358e-06,0.0
224864.625,196071.25,285000,1.0,55,Large Office,Office,192159.375,7,DOWNTOWN,47.60723,-122.33611,1988,16336999.203125,1,28,1.267429236590682,3564.931818181818,4.447120128388358e-06,2.0
224864.625,196071.25,0,1.0,21,Hotel,Hotel,192159.375,7,DOWNTOWN,47.60968,-122.33379,1930,16336999.203125,0,86,0.0,9336.72619047619,4.447120128388358e-06,2.0
224864.625,196071.25,512608,1.0,46,Large Office,Office,192159.375,7,DOWNTOWN,47.61054,-122.33466,1989,16336999.203125,1,27,2.2796293547728994,4262.41847826087,4.447120128388358e-06,2.0
135918.0,135918.0,0,1.0,10,Large Office,Office,144570.0,7,DOWNTOWN,47.61003,-122.33452,1958,6423556.5,0,58,0.0,13591.8,7.357377242160715e-06,2.0
79957.0,79957.0,0,1.0,4,Retail Store,Retail Store,35694.0,7,DOWNTOWN,47.61159,-122.33601,1914,5252131.0,0,102,0.0,19989.25,1.2506722363270258e-05,2.0
127268.0,127268.0,0,1.0,4,Large Office,Office,62512.0,7,DOWNTOWN,47.61166,-122.33528,1921,7711757.5,0,95,0.0,31817.0,7.857434704717604e-06,2.0
224864.625,196071.25,0,1.0,29,Large Office,Office,192159.375,7,DOWNTOWN,47.61125,-122.33494,1983,16336999.203125,0,33,0.0,6761.077586206897,4.447120128388358e-06,2.0
132326.0,132326.0,0,0.0,10,Large Office,Office,92006.0,7,DOWNTOWN,47.61005,-122.3361,1926,6029020.0,0,90,0.0,13232.6,0.0,2.0
109830.0,96630.0,13200,1.0,6,Large Office,Office,83485.0,7,DOWNTOWN,47.61033,-122.3357,1984,7335905.5,1,32,0.12018574160065555,16105.0,9.104980424292089e-06,2.0
224864.625,196071.25,59280,0.0,19,Hotel,Hotel,192159.375,7,DOWNTOWN,47.60996,-122.33572,1973,16336999.203125,1,43,0.2636252812108619,10319.53947368421,0.0,2.0
130513.0,130513.0,0,1.0,10,Large Office,Office,87391.0,7,DOWNTOWN,47.60991,-122.33687,1910,11651200.0,0,106,0.0,13051.3,7.662071977504156e-06,2.0
60660.0,60660.0,0,1.0,8,Small- and Mid-Sized Office,Office,41958.0,7,DOWNTOWN,47.60953,-122.33647,1920,2586116.0,0,96,0.0,7582.5,1.6485328058028356e-05,2.0
137350.0,137350.0,0,1.0,14,Large Office,Office,124508.0,7,DOWNTOWN,47.60902,-122.33674,1929,6366084.5,0,87,0.0,9810.714285714286,7.280669821623589e-06,2.0
151039.0,151039.0,0,1.0,15,Large Office,Office,125473.0,7,DOWNTOWN,47.60923,-122.33625,1929,5446624.0,0,87,0.0,10069.266666666666,6.620806546653513e-06,2.0
224864.625,196071.25,134662,1.0,30,Large Office,Office,192159.375,7,DOWNTOWN,47.61022,-122.33745,1985,16336999.203125,1,31,0.5988580907290331,6535.708333333333,4.447120128388358e-06,2.0
63540.0,63540.0,0,1.0,4,Small- and Mid-Sized Office,Office,56747.0,7,DOWNTOWN,47.60995,-122.33904,1906,3518459.5,0,110,0.0,15885.0,1.5738117721120555e-05,2.0
130893.0,130893.0,0,1.0,10,Large Office,Office,87925.0,7,DOWNTOWN,47.60987,-122.33824,1927,6962073.0,0,89,0.0,13089.3,7.639827951074541e-06,2.0
79920.0,79920.0,0,1.0,5,Mixed Use Property,Office,39960.0,7,DOWNTOWN,47.60821,-122.33899,1910,3009463.75,0,106,0.0,15984.0,1.2512512512512513e-05,2.0
137400.0,137400.0,0,1.0,4,Mixed Use Property,Retail Store,44078.0,7,DOWNTOWN,47.60881,-122.34119,1908,14940504.0,0,108,0.0,34350.0,7.2780203784570594e-06,2.0
147852.0,61423.0,86429,1.0,6,Other,Parking,64821.0,7,DOWNTOWN,47.61164,-122.33446,1996,9671619.0,1,20,0.5845642940237534,10237.166666666666,6.76352027703379e-06,2.0
224864.625,100375.0,166960,0.0,4,Other,Parking,166960.0,7,DOWNTOWN,47.61185,-122.33421,1996,7273155.5,1,20,0.7424911766357203,25093.75,0.0,2.0
224864.625,196071.25,389860,1.0,56,Large Office,Office,192159.375,7,DOWNTOWN,47.61043,-122.33206,1989,16336999.203125,1,27,1.7337542532534853,3501.2723214285716,4.447120128388358e-06,2.0
224864.625,196071.25,0,1.0,36,Large Office,Office,192159.375,7,DOWNTOWN,47.60967,-122.33229,1980,16336999.203125,0,36,0.0,5446.423611111111,4.447120128388358e-06,2.0
224864.625,196071.25,93204,1.0,21,Large Office,Office,192159.375,7,DOWNTOWN,47.60909,-122.33202,1971,16336999.203125,1,45,0.4144893844463085,9336.72619047619,4.447120128388358e-06,2.0
115857.0,100717.0,15140,1.0,12,Large Office,Office,104788.0,7,DOWNTOWN,47.61029,-122.34089,1986,4757299.5,1,30,0.13067833622482888,8393.083333333334,8.631330001639953e-06,2.0
87500.0,70000.0,17500,1.0,4,Small- and Mid-Sized Office,Office,70090.0,7,DOWNTOWN,47.61116,-122.34748,1999,4549892.0,1,17,0.2,17500.0,1.1428571428571429e-05,2.0
224864.625,189629.0,184776,1.0,11,Large Office,Office,150969.0,7,DOWNTOWN,47.6117,-122.34778,1998,13329024.0,1,18,0.8217210688430873,17239.0,4.447120128388358e-06,2.0
193500.0,155500.0,38000,1.0,12,Other,Other,146689.0,7,DOWNTOWN,47.61252,-122.34351,1985,14436982.0,1,31,0.19638242894056848,12958.333333333334,5.16795865633075e-06,2.0
102846.0,102846.0,0,1.0,11,Large Office,Office,93879.0,7,DOWNTOWN,47.61108,-122.34217,1923,5327249.5,0,93,0.0,9349.636363636364,9.723275577076405e-06,2.0
